"COLUMN1","COLUMN202","COLUMN203","COLUMN4","COLUMN5","COLUMN6","COLUMN7","COLUMN208","COLUMN209","COLUMN210"
1,0,0,"YY-1",1,1,1,0,0,0
2,0,0,"YY-2",1,1,1,0,0,0
3,0,0,"YY-3",1,1,1,0,0,0
4,0,0,"YY-4",1,1,1,0,0,0
5,0,0,"YY-5",1,1,1,0,0,0
6,0,0,"YY-6",1,1,1,0,0,0
7,0,0,"YY-7",1,1,1,0,0,0
8,0,0,"YY-8",1,1,1,0,0,0
9,0,0,"YY-9",1,1,1,0,0,0
10,0,0,"YY-10",1,1,1,0,0,0
11,0,0,"AA-1",1,2,1,0,0,0
12,0,0,"AA-2",1,2,1,0,0,0
13,0,0,"AA-3",1,2,1,0,0,0
14,0,0,"AA-4",1,2,1,0,0,0
15,0,0,"AA-5",1,2,1,0,0,0
16,0,0,"AA-6",1,2,1,0,0,0
17,0,0,"AA-7",1,2,1,0,0,0
18,0,0,"AA-8",1,2,1,0,0,0
19,0,0,"AA-9",1,2,1,0,0,0
20,0,0,"AA-10",1,2,1,0,0,0
21,0,0,"AA-1",1,3,1,0,0,0
22,0,0,"AA-2",1,3,1,0,0,0
23,0,0,"AA-3",1,3,1,0,0,0
24,0,0,"AA-4",1,3,1,0,0,0
25,0,0,"AA-5",1,3,1,0,0,0
26,0,0,"AA-6",1,3,1,0,0,0
27,0,0,"AA-7",1,3,1,0,0,0
28,0,0,"AA-8",1,3,1,0,0,0
29,0,0,"AA-9",1,3,1,0,0,0
30,0,0,"AA-10",1,3,1,0,0,0
31,0,0,"AA-1",1,99,1,0,0,0
32,0,0,"AA-2",1,99,1,0,0,0
33,0,0,"AA-3",1,99,1,0,0,0
34,0,0,"AA-4",1,99,1,0,0,0
35,0,0,"AA-5",1,99,1,0,0,0
36,0,0,"AA-6",1,99,1,0,0,0
37,0,0,"AA-7",1,99,1,0,0,0
38,0,0,"AA-8",1,99,1,0,0,0
39,0,0,"AA-9",1,99,1,0,0,0
40,0,0,"AA-10",1,99,1,0,0,0
